ACT_RAW_000_WRJ1,torque_wrist_01
ACT_RAW_001_WRJ0,torque_wrist_02
ACT_RAW_002_FFJ3,torque_forefinger_03
ACT_RAW_003_FFJ2,torque_forefinger_02
ACT_RAW_004_FFJ1,torque_forefinger_01
ACT_RAW_005_MFJ3,torque_middlefinger_03
ACT_RAW_006_MFJ2,torque_middlefinger_02
ACT_RAW_007_MFJ1,torque_middlefinger_01
ACT_RAW_008_RFJ3,torque_ringfinger_03
ACT_RAW_009_RFJ2,torque_ringfinger_02
ACT_RAW_010_RFJ1,torque_ringfinger_01
ACT_RAW_011_LFJ4,torque_pinky_04
ACT_RAW_012_LFJ3,torque_pinky_03
ACT_RAW_013_LFJ2,torque_pinky_02
ACT_RAW_014_LFJ1,torque_pinky_01
ACT_RAW_015_THJ4,torque_thumb_04
ACT_RAW_016_THJ3,torque_thumb_03
ACT_RAW_017_THJ2,torque_thumb_02
ACT_RAW_018_THJ1,torque_thumb_01
ACT_RAW_019_THJ0,torque_thumb_00
