OBS_RAW_000_u, body_lin_vel_x
OBS_RAW_001_v, body_lin_vel_y
OBS_RAW_002_w, body_lin_vel_z
OBS_RAW_003_p, body_ang_vel_x
OBS_RAW_004_q, body_ang_vel_y
OBS_RAW_005_r, body_ang_vel_z
OBS_RAW_006_phi_proj, projected_gravity_x
OBS_RAW_007_theta_proj, projected_gravity_y
OBS_RAW_008_psi_proj, projected_gravity_z
OBS_RAW_009_u_star, command_lin_vel_x
OBS_RAW_010_v_star, command_lin_vel_y
OBS_RAW_011_r_star, command_ang_vel_z
OBS_RAW_012_dof_pos_01, dof_pos_01
OBS_RAW_013_dof_pos_02, dof_pos_02
OBS_RAW_014_dof_pos_03, dof_pos_03
OBS_RAW_015_dof_pos_04, dof_pos_04
OBS_RAW_016_dof_pos_05, dof_pos_05
OBS_RAW_017_dof_pos_06, dof_pos_06
OBS_RAW_018_dof_pos_07, dof_pos_07
OBS_RAW_019_dof_pos_08, dof_pos_08
OBS_RAW_020_dof_pos_09, dof_pos_09
OBS_RAW_021_dof_pos_10, dof_pos_10
OBS_RAW_022_dof_pos_11, dof_pos_11
OBS_RAW_023_dof_pos_12, dof_pos_12
OBS_RAW_024_dof_vel_01, dof_vel_01
OBS_RAW_025_dof_vel_02, dof_vel_02
OBS_RAW_026_dof_vel_03, dof_vel_03
OBS_RAW_027_dof_vel_04, dof_vel_04
OBS_RAW_028_dof_vel_05, dof_vel_05
OBS_RAW_029_dof_vel_06, dof_vel_06
OBS_RAW_030_dof_vel_07, dof_vel_07
OBS_RAW_031_dof_vel_08, dof_vel_08
OBS_RAW_032_dof_vel_09, dof_vel_09
OBS_RAW_033_dof_vel_10, dof_vel_10
OBS_RAW_034_dof_vel_11, dof_vel_11
OBS_RAW_035_dof_vel_12, dof_vel_12
OBS_RAW_036_height_001, height_001
OBS_RAW_037_height_002, height_002
OBS_RAW_038_height_003, height_003
OBS_RAW_039_height_004, height_004
OBS_RAW_040_height_005, height_005
OBS_RAW_041_height_006, height_006
OBS_RAW_042_height_007, height_007
OBS_RAW_043_height_008, height_008
OBS_RAW_044_height_009, height_009
OBS_RAW_045_height_010, height_010
OBS_RAW_046_height_011, height_011
OBS_RAW_047_height_012, height_012
OBS_RAW_048_height_013, height_013
OBS_RAW_049_height_014, height_014
OBS_RAW_050_height_015, height_015
OBS_RAW_051_height_016, height_016
OBS_RAW_052_height_017, height_017
OBS_RAW_053_height_018, height_018
OBS_RAW_054_height_019, height_019
OBS_RAW_055_height_020, height_020
OBS_RAW_056_height_021, height_021
OBS_RAW_057_height_022, height_022
OBS_RAW_058_height_023, height_023
OBS_RAW_059_height_024, height_024
OBS_RAW_060_height_025, height_025
OBS_RAW_061_height_026, height_026
OBS_RAW_062_height_027, height_027
OBS_RAW_063_height_028, height_028
OBS_RAW_064_height_029, height_029
OBS_RAW_065_height_030, height_030
OBS_RAW_066_height_031, height_031
OBS_RAW_067_height_032, height_032
OBS_RAW_068_height_033, height_033
OBS_RAW_069_height_034, height_034
OBS_RAW_070_height_035, height_035
OBS_RAW_071_height_036, height_036
OBS_RAW_072_height_037, height_037
OBS_RAW_073_height_038, height_038
OBS_RAW_074_height_039, height_039
OBS_RAW_075_height_040, height_040
OBS_RAW_076_height_041, height_041
OBS_RAW_077_height_042, height_042
OBS_RAW_078_height_043, height_043
OBS_RAW_079_height_044, height_044
OBS_RAW_080_height_045, height_045
OBS_RAW_081_height_046, height_046
OBS_RAW_082_height_047, height_047
OBS_RAW_083_height_048, height_048
OBS_RAW_084_height_049, height_049
OBS_RAW_085_height_050, height_050
OBS_RAW_086_height_051, height_051
OBS_RAW_087_height_052, height_052
OBS_RAW_088_height_053, height_053
OBS_RAW_089_height_054, height_054
OBS_RAW_090_height_055, height_055
OBS_RAW_091_height_056, height_056
OBS_RAW_092_height_057, height_057
OBS_RAW_093_height_058, height_058
OBS_RAW_094_height_059, height_059
OBS_RAW_095_height_060, height_060
OBS_RAW_096_height_061, height_061
