OBS_RAW_000_ff_x,indxf_distal_position_x
OBS_RAW_001_ff_y,indxf_distal_position_y
OBS_RAW_002_ff_z,indxf_distal_position_z
OBS_RAW_003_mf_x,midlf_distal_position_x
OBS_RAW_004_mf_y,midlf_distal_position_y
OBS_RAW_005_mf_z,midlf_distal_position_z
OBS_RAW_006_rf_x,ringf_distal_position_x
OBS_RAW_007_rf_y,ringf_distal_position_y
OBS_RAW_008_rf_z,ringf_distal_position_z
OBS_RAW_009_lf_x,pinky_distal_position_x
OBS_RAW_010_lf_y,pinky_distal_position_y
OBS_RAW_011_lf_z,pinky_distal_position_z
OBS_RAW_012_th_x,thumb_distal_position_x
OBS_RAW_013_th_y,thumb_distal_position_y
OBS_RAW_014_th_z,thumb_distal_position_z
OBS_RAW_015_obj_x,object_position_x
OBS_RAW_016_obj_y,object_position_y
OBS_RAW_017_obj_z,object_position_z
OBS_RAW_018_obj_qx,object_orientation_qx
OBS_RAW_019_obj_qy,object_orientation_qy
OBS_RAW_020_obj_qz,object_orientation_qz
OBS_RAW_021_obj_qw,object_orientation_qw
